iter	Precision_SumError	Precision_SumWeight	Recall_SumError	Recall_SumWeight	F1_TP	F1_TP+FP	F1_TP+FN
798	275	303	275	340	275	303	340
799	275	303	275	340	275	303	340
800	275	303	275	340	275	303	340
801	275	303	275	340	275	303	340
802	275	303	275	340	275	303	340
803	275	303	275	340	275	303	340
804	275	303	275	340	275	303	340
805	275	303	275	340	275	303	340
806	275	303	275	340	275	303	340
807	275	303	275	340	275	303	340
808	275	303	275	340	275	303	340
809	275	303	275	340	275	303	340
810	275	303	275	340	275	303	340
811	275	303	275	340	275	303	340
812	275	303	275	340	275	303	340
813	275	302	275	340	275	302	340
814	275	302	275	340	275	302	340
815	275	302	275	340	275	302	340
816	276	304	276	340	276	304	340
817	276	304	276	340	276	304	340
818	276	304	276	340	276	304	340
819	276	304	276	340	276	304	340
820	276	304	276	340	276	304	340
821	276	303	276	340	276	303	340
822	276	304	276	340	276	304	340
823	276	303	276	340	276	303	340
824	276	303	276	340	276	303	340
825	276	303	276	340	276	303	340
826	276	303	276	340	276	303	340
827	276	303	276	340	276	303	340
828	276	303	276	340	276	303	340
829	276	303	276	340	276	303	340
830	276	303	276	340	276	303	340
831	276	303	276	340	276	303	340
832	276	304	276	340	276	304	340
833	276	303	276	340	276	303	340
834	276	303	276	340	276	303	340
835	276	303	276	340	276	303	340
836	276	303	276	340	276	303	340
837	276	303	276	340	276	303	340
838	276	303	276	340	276	303	340
839	276	303	276	340	276	303	340
840	276	303	276	340	276	303	340
841	276	303	276	340	276	303	340
842	276	303	276	340	276	303	340
843	276	303	276	340	276	303	340
844	276	303	276	340	276	303	340
845	276	303	276	340	276	303	340
846	276	303	276	340	276	303	340
847	276	303	276	340	276	303	340
848	276	303	276	340	276	303	340
849	276	303	276	340	276	303	340
850	276	303	276	340	276	303	340
851	276	303	276	340	276	303	340
852	276	303	276	340	276	303	340
853	276	303	276	340	276	303	340
854	276	303	276	340	276	303	340
855	275	302	275	340	275	302	340
856	275	302	275	340	275	302	340
857	275	302	275	340	275	302	340
858	275	302	275	340	275	302	340
